仁怀 renhuai 101260203
黑水 heishui 101271909
阜南 funan 101220802
萧县 xiaoxian 101220705
涪陵 fuling 101041400
乌拉特中旗 wulatezhongqi 101080806
河南 henan 101080706
晋洲 jinzhou 101090116
沅江 yuanjiang 101250705
竹溪 zhuxi 101201102
奉节 fengjie 101041900
漳州 zhangzhou 101230601
襄汾 xiangfen 101100707
新田 xintian 101251409
谷城 gucheng 101200207
张家港 zhangjiagang 101190403
彭水 pengshui 101043200
关岭 guanling 101260306
马山 mashan 101300106
芷江 zhijiang 101251210
河卡 heka 101150405
都安 duan 101301210
克东 kedong 101050209
黟县 yixian 101221005
恩施 enshi 101201001
铁卜加寺 tiebojiasi 101150106
河北 hebei None
康保 kangbao 101090304
沂南 yinan 101120903
巴里坤 balikun 101131203
阿拉善左旗 elashanzuoqi 101081201
贺兰 helan 101170104
新界 xinjie 101320103
正兰旗 zhenglanqi 101080914
赫章 hezhang 101260702
崇阳 chongyang 101200704
沽源 guyuan 101090305
荣昌 rongchang 101042700
连山 lianshan 101281304
安阳 anyang 101180201
西藏 xizang None
小渠子 xiaoquzi 101130103
桂阳 guiyang 101250502
小灶火 xiaozaohuo 101150706
苏家屯 sujiatun 101070102
嵊州 shengzhou 101210505
德昌 dechang 101271605
五常 wuchang 101050112
乐陵 leling 101120406
永春 yongchun 101230504
渑池 mianchi 101181703
稷山 jishan 101100803
新疆 xinjiang None
厦门 xiamen 101230201
铁力 tieli 101050804
宿州 suzhou 101220701
安国 anguo 101090220
那仁宝力格 narenbaolige 101080809
文山 wenshan 101290601
安图 antu 101060303
青川 qingchuan 101272103
青州 qingzhou 101120602
富裕 fuyu 101050205
乌当 wudang 101260104
揭阳 jieyang 101281901
河口 hekou 101121202
安陆 anlu 101200402
宁都 ningdu 101240707
儋州 danzhou 101310205
武山 wushan 101160906
连南 liannan 101281302
错那 cuona 101140306
渭源 weiyuan 101160204
绥德 suide 101110410
常山 changshan 101211002
宝兴 baoxing 101271708
保康 baokang 101200203
贵德 guide 101150404
遂溪 suixi 101281007
甘谷 gangu 101160905
玉溪 yuxi 101290701
洛浦 luopu 101131305
彭泽 pengze 101240208
潮阳 chaoyang 101280502
夏邑 xiayi 101181008
渝北 yubei 101040700
开封 kaifeng 101180801
商南 shangnan 101110607
横峰 hengfeng 101240310
浪卡子 langkazi 101140305
古县 guxian 101100717
内江 neijiang 101271201
海安 haian 101190502
徐州农试站 xuzhounongshizhan 101190802
淮南 huainan 101220401
泽库 zeku 101150303
杞县 qixian 101180802
嵊山 shengshan 101211103
梁山 liangshan 101120709
秀山 xiushan 101043600
罗山 luoshan 101180603
扎鲁特旗 zaluteqi 101080509
射阳 sheyang 101190705
麻阳 mayang 101251208
沙县 shaxian 101230808
六安 luan 101221501
腾冲 tengchong 101290506
隆尧 longyao 101090906
临潼 lintong 101110103
金乡 jinxiang 101120706
华家岭 huajialing 101161304
淮北 huaibei 101221201
莒南 junan 101120902
镇平 zhenping 101180707
金湖 jinhu 101190902
察哈尔右翼中旗 chahaeryouyizhongqi 101080409
温州 wenzhou 101210701
全南 quannan 101240713
西连岛 xiliandao 101191006
梅州 meizhou 101280401
常州 changzhou 101191101
屏南 bingnan 101230309
同江 tongjiang 101050406
花溪 huaxi 101260103
祥云 xiangyun 101290207
澎湖 penghu None
磐石 pandan 101060205
开鲁 kailu 101080506
莒县 juxian 101121503
特克斯 tekesi 101131008
横山 hengshan 101110407
荆州 jingzhou 101200801
涟源 lianyuan 101250806
淄川 zichuan 101120302
林芝 linzhi 101140401
金溪 jinxi 101240405
肃南 sunan 101160702
新和 xinhe 101130805
镇康 zhenkang 101291108
聂拉木 nielamu 101140204
固始 gushi 101180608
台湾 taiwan None
莫力达瓦旗 molidawaqi 101081004
民权 minquan 101181004
瓦房店 wafangdian 101070202
准格尔旗 zhungeerqi 101080704
乌鲁木齐 wulumuqi 101130101
尤溪 youxi 101230809
连州 lianzhou 101281303
棠荫 tangyin 101240211
台东 taidong 101341101
巴音布鲁克 bayinbuluke 101130610
义乌 yiwu 101210904
昌图 changtu 101071103
肃北 subei 101160806
叶县 xiexian 101180505
鄂托克旗 etuokeqi 101080708
锡林浩特 xilinhaote 101080901
大荔 dali 101110504
青岛 qingdao 101120201
定日 dingri 101140205
台中 taizhong 101340401
溧阳 liyang 101191102
仙桃 xiantao 101201601
印江 yinjiang 101260607
韶山 shaoshan 101250202
通州 tongzhou 101010600
叶城 xiecheng 101130906
中江 zhongjiang 101272002
乌兰乌苏 wulanwusu 101130304
赞皇 zanhuang 101090109
庆阳 qingyang 101160401
保山 baoshan 101290501
福泉 fuquan 101260405
大悟 dawu 101200404
双牌 shuangpai 101251404
江山 jiangshan 101211005
帕里 pali 101140207
濉溪 suixi 101221202
蕉岭 jiaoling 101280403
三峡 sanxia 101200911
洪雅 hongya 101271504
平邑 pingyi 101120908
塘头 tangtou 101260606
西乌珠穆沁旗 xiwuzhumuqinqi 101080910
前郭 qianguo 101060803
五峰 wufeng 101200906
安吉 anji 101210203
策勒 cele 101131303
永和 yonghe 101100703
虞城 yucheng 101181005
鄂伦春旗 elunchunqi 101081005
乡宁 xiangning 101100712
喜德 xide 101271613
宾川 binchuan 101290205
连平 lianping 101281203
蛟河 jiaohe 101060204
临城 lincheng 101090902
福清 fuqing 101230111
贵州 guizhou None
柳林 liulin 101101105
陕西 shanxi None
如皋 rugao 101190503
武鸣 wuming 101300108
延寿 yanshou 101050110
改则 gaize 101140702
宜兴 yixing 101190203
香港 xianggang 101320101
通辽 tongliao 101080501
焦作 jiaozuo 101181101
商都 shangdu 101080404
灌南 guannan 101191005
含山 hanshan 101221604
松桃 songtao 101260611
桑植 sangzhi 101251102
胶州 jiaozhou 101120205
将乐 jiangle 101230805
武平 wuping 101230704
舒兰 shulan 101060202
南宁 nanning 101300101
泾县 jingxian 101221402
周至 zhouzhi 101110105
孝感 xiaogan 101200401
南安 nanan 101230506
成都 chengdu 101270101
于都 yudu 101240710
逊克 xunke 101050604
竹山 zhushan 101201105
保定 baoding 101090201
孙吴 sunwu 101050603
镇巴 zhenba 101110811
开原 kaiyuan 101071102
延安 yanan 101110300
融安 rongan 101300306
青龙 qinglong 101091102
邵阳 shaoyang 101250901
鹤壁 hebi 101181201
全椒 quanjiao 101221105
泗水 sishui 101120708
崂山 laoshan 101120202
盘山 panshan 101071303
冕宁 mianning 101271614
萝北 luobei 101051203
峨边 ebian 101271406
礼县 lixian 101161007
卫辉 weihui 101180305
弥渡 midu 101290206
黑河 heihe 101050601
晋中 jinzhong 101100401
岷县 minxian 101160207
宁南 ningnan 101271608
铜梁 tongliang 101042800
